date,hit_count,text_count
2009-03-25,1,1
2009-05-16,1,1
2009-05-25,1,1
2009-09-23,2,2
2009-10-13,1,1
2009-10-14,1,1
2009-12-07,1,1
2009-12-09,1,1
2010-09-10,1,1
2011-08-31,1,1
2011-09-30,1,1
2012-07-17,1,1
2014-11-08,1,1
2014-12-03,1,1
2015-09-14,1,1
2015-11-27,1,1
2015-12-02,1,1
2015-12-14,1,1
2016-01-04,1,1
2016-08-19,1,1
2016-09-03,1,1
2016-09-30,1,1
2016-10-05,1,1
2016-10-07,1,1
2016-10-17,1,1
2016-11-17,1,1
2016-12-13,1,1
2017-03-29,1,1
2017-07-07,1,1
2017-11-11,1,1
2018-03-09,1,1
2018-08-09,1,1
2018-08-11,1,1
2018-08-23,1,1
2018-10-24,1,1
2018-11-22,1,1
2018-12-03,1,1
2018-12-12,1,1
2019-02-06,1,1
2019-03-16,2,2
2019-03-27,1,1
2019-03-30,1,1
2019-04-25,2,2
2019-04-27,1,1
2019-04-29,1,1
2019-05-04,1,1
2019-05-25,1,1
2019-06-01,1,1
2019-06-03,1,1
2019-06-08,1,1
2019-06-13,1,1
2019-06-24,1,1
2019-06-29,1,1
2019-07-04,1,1
2019-08-06,1,1
2019-08-10,2,2
2019-08-12,1,1
2019-08-14,1,1
2019-08-15,1,1
2019-08-29,1,1
2019-09-16,1,1
2019-09-17,1,1
2019-09-18,1,1
2019-09-21,1,1
2019-09-26,1,1
2019-09-28,1,1
2019-09-30,1,1
2019-10-05,1,1
2019-10-17,1,1
2019-11-11,1,1
2019-11-16,1,1
2019-11-21,1,1
2019-11-26,1,1
2019-11-27,2,2
2019-11-29,1,1
2019-12-02,1,1
2019-12-05,1,1
2019-12-07,1,1
2019-12-12,1,1
2019-12-23,1,1
2019-12-31,1,1
2020-01-15,1,1
2020-01-16,1,1
2020-01-17,1,1
2020-01-20,1,1
2020-01-22,1,1
2020-02-01,1,1
2020-02-03,1,1
2020-02-06,1,1
2020-02-15,1,1
2020-03-05,1,1
2020-03-09,1,1
2020-03-17,1,1
2020-03-24,1,1
2020-03-31,1,1
2020-04-18,1,1
2020-04-24,1,1
2020-04-27,1,1
2020-04-28,1,1
2020-05-04,1,1
2020-05-18,1,1
2020-05-23,1,1
2020-07-13,1,1
2020-08-19,1,1
2020-08-21,2,2
2020-08-29,1,1
2020-09-03,1,1
2020-09-08,1,1
2020-09-14,2,2
2020-09-15,2,2
2020-09-22,1,1
2020-09-23,1,1
2020-10-09,1,1
2020-10-14,1,1
2020-11-04,1,1
2020-11-18,1,1
2020-12-07,1,1
2021-01-08,1,1
2021-01-09,1,1
2021-03-17,1,1
2021-05-11,1,1
2021-06-03,1,1
2021-06-19,1,1
2021-07-06,1,1
2021-07-14,1,1
2021-07-22,2,2
2021-07-27,1,1
2021-07-31,1,1
2021-08-04,2,2
2021-08-07,1,1
2021-08-11,1,1
2021-08-21,1,1
2021-09-04,1,1
2021-09-16,1,1
2021-09-17,3,3
2021-10-06,1,1
2021-10-08,2,2
2021-10-13,1,1
2021-10-15,1,1
2021-10-23,2,2
2021-10-28,1,1
2021-10-29,1,1
2021-10-30,1,1
2021-11-02,1,1
2021-11-04,1,1
2021-11-06,1,1
2021-11-08,1,1
2022-01-03,1,1
2022-02-08,1,1
2022-02-23,1,1
2022-03-08,1,1
2022-04-05,1,1
2022-04-14,1,1
2022-05-02,1,1
2022-05-04,1,1
2022-05-07,1,1
2022-05-11,1,1
2022-05-19,1,1
2022-05-21,1,1
2022-05-24,1,1
2022-05-28,1,1
2022-05-30,1,1
2022-06-18,1,1
2022-06-24,1,1
2022-06-25,1,1
2022-06-27,1,1
2022-07-14,1,1
2022-07-15,1,1
2022-07-19,1,1
2022-07-20,1,1
2022-07-22,1,1
2022-08-18,1,1
2022-09-02,1,1
2022-09-03,1,1
2022-09-09,1,1
2022-09-20,1,1
2022-09-23,1,1
2022-09-24,2,2
2022-09-28,1,1
2022-09-29,1,1
2022-10-04,1,1
2022-10-06,1,1
2022-10-12,1,1
2022-10-20,1,1
2022-10-28,1,1
2022-11-01,1,1
2022-11-04,2,2
2022-11-05,1,1
2022-11-07,1,1
2022-11-09,1,1
2022-11-12,1,1
2022-11-19,2,2
2022-11-21,1,1
2022-11-22,1,1
2022-11-24,1,1
2022-11-26,1,1
2022-12-02,1,1
2022-12-09,1,1
2022-12-15,1,1
2022-12-20,1,1
